".id"	"sector"	"title"	"issue"	"paid"	"date"	"views"	"location"	"report"
"74"	"http://www.ipaidabribe.com/reports/paid?page=80"	"Commercial Tax, Sales Tax, VAT"	"
                      No way of getting out of this :(
                    "	"VAT Registration"	"Paid INR 10,000
                        "	"October 31, 2015"	"105 views"	"New Delhi
                      , Delhi"	"81259"
"75"	"http://www.ipaidabribe.com/reports/paid?page=80"	"Municipal Services"	"
                      I Paid Rs. 100 to Municipal Services in Abhayapuri.
                    "	"Birth Certificate"	"Paid INR 100
                        "	"October 31, 2015"	"91 views"	"Abhayapuri
                      , Assam"	"81258"
"76"	"http://www.ipaidabribe.com/reports/paid?page=80"	"Municipal Services"	"
                      I Paid Rs. 450 to Municipal Services in Abhayapuri.
                    "	"Birth Certificate"	"Paid INR 450
                        "	"October 31, 2015"	"79 views"	"Abhayapuri
                      , Assam"	"81257"
"77"	"http://www.ipaidabribe.com/reports/paid?page=80"	"Income Tax"	"
                      I Paid Rs. 10 to Income Tax in Madurai.
                    "	"New PAN Card"	"Paid INR 10
                        "	"October 31, 2015"	"88 views"	"Madurai
                      , Tamil Nadu"	"81253"
"78"	"http://www.ipaidabribe.com/reports/paid?page=80"	"Others"	"
                      I Paid Rs. 15 to Others in Kozhikode.
                    "	"Others"	"Paid INR 15
                        "	"October 30, 2015"	"117 views"	"Kozhikode
                      , Kerala"	"81249"
"79"	"http://www.ipaidabribe.com/reports/paid?page=80"	"Municipal Services"	"
                      I Paid Rs. 200 to Municipal Services in Gorakhpur.
                    "	"Birth Certificate"	"Paid INR 200
                        "	"October 30, 2015"	"111 views"	"Gorakhpur
                      , Uttar Pradesh"	"81247"
"80"	"http://www.ipaidabribe.com/reports/paid?page=80"	"Municipal Services"	"
                      I Paid Rs. 300 to Municipal Services in Achhnera.
                    "	"Birth Certificate"	"Paid INR 300
                        "	"October 30, 2015"	"122 views"	"Achhnera
                      , Uttar Pradesh"	"81246"
"81"	"http://www.ipaidabribe.com/reports/paid?page=90"	"Municipal Services"	"
                      I Paid Rs. 777 to Municipal Services in Thane.
                    "	"Birth Certificate"	"Paid INR 777
                        "	"October 30, 2015"	"106 views"	"Thane
                      , Maharashtra"	"81236"
"82"	"http://www.ipaidabribe.com/reports/paid?page=90"	"Passport"	"
                      I Paid Rs. 100 to Passport in Pune.
                    "	"Passport Delivery"	"Paid INR 100
                        "	"October 30, 2015"	"137 views"	"Pune
                      , Maharashtra"	"81229"
"83"	"http://www.ipaidabribe.com/reports/paid?page=90"	"Others"	"
                      I Paid Rs. 65 to Others in Amritsar.
                    "	"Others"	"Paid INR 65
                        "	"October 30, 2015"	"109 views"	"Amritsar
                      , Punjab"	"81222"
"84"	"http://www.ipaidabribe.com/reports/paid?page=90"	"Municipal Services"	"
                      I Paid Rs. 5000 to Municipal Services in Nashik.
                    "	"Birth Certificate"	"Paid INR 5,000
                        "	"October 30, 2015"	"97 views"	"Nashik
                      , Maharashtra"	"81218"
"85"	"http://www.ipaidabribe.com/reports/paid?page=90"	"Municipal Services"	"
                      I Paid Rs. 1995 to Municipal Services in Mangalore.
                    "	"Birth Certificate"	"Paid INR 1,995
                        "	"October 30, 2015"	"95 views"	"Mangalore
                      , Karnataka"	"81216"
"86"	"http://www.ipaidabribe.com/reports/paid?page=90"	"Municipal Services"	"
                      I Paid Rs. 200 to Municipal Services in Abhayapuri.
                    "	"Birth Certificate"	"Paid INR 200
                        "	"October 30, 2015"	"80 views"	"Abhayapuri
                      , Assam"	"81215"
"87"	"http://www.ipaidabribe.com/reports/paid?page=90"	"Others"	"
                      I Paid Rs. 272165 to Others in Gonda.
                    "	"Others"	"Paid INR 2,72,165
                        "	"October 30, 2015"	"87 views"	"Gonda
                      , Uttar Pradesh"	"81204"
"88"	"http://www.ipaidabribe.com/reports/paid?page=90"	"Commercial Tax, Sales Tax, VAT"	"
                      I Paid Rs. 33 to Commercial Tax, Sales Tax, VAT in Abohar.
                    "	"C Form"	"Paid INR 33
                        "	"October 30, 2015"	"79 views"	"Abohar
                      , Punjab"	"81195"
"89"	"http://www.ipaidabribe.com/reports/paid?page=90"	"Municipal Services"	"
                      I Paid Rs. 10 to Municipal Services in Jabalpur.
                    "	"Birth Certificate"	"Paid INR 10
                        "	"October 30, 2015"	"92 views"	"Jabalpur
                      , Madhya Pradesh"	"81191"
"90"	"http://www.ipaidabribe.com/reports/paid?page=90"	"Income Tax"	"
                      I Paid Rs. 500 to Income Tax in Hingoli.
                    "	"New PAN Card"	"Paid INR 500
                        "	"October 30, 2015"	"88 views"	"Hingoli
                      , Maharashtra"	"81190"
"91"	"http://www.ipaidabribe.com/reports/paid?page=100"	"Municipal Services"	"
                      I Paid Rs. 800 to Municipal Services in Achhnera.
                    "	"Birth Certificate"	"Paid INR 800
                        "	"October 30, 2015"	"113 views"	"Achhnera
                      , Uttar Pradesh"	"81149"
"92"	"http://www.ipaidabribe.com/reports/paid?page=100"	"Municipal Services"	"
                      I Paid Rs. 16000 to Municipal Services in Mumbai.
                    "	"Birth Certificate"	"Paid INR 16,000
                        "	"October 29, 2015"	"131 views"	"Mumbai
                      , Maharashtra"	"81146"
